event_id,service,severity,message,gt_category,gt_root_cause,gt_remediation,is_labeled
E0091,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0100,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0267,notification-svc,INFO,GET /health 200 2ms,,,,no
E0016,search-api,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",capacity,rate_limit_breach,add_backpressure_and_request_quota_increase,yes
E0334,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0365,search-api,INFO,INFO scheduled job nightly-report started,,,,no
E0281,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0108,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0378,payments-worker,INFO,INFO scheduled job nightly-report started,,,,no
E0183,inventory-svc,ERROR,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0452,auth-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0337,image-cdn,INFO,INFO scheduled job nightly-report started,,,,no
E0094,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0355,payments-worker,INFO,INFO scheduled job nightly-report started,,,,no
E0442,notification-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0168,user-db-proxy,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0415,gateway,INFO,GET /favicon.ico 404 1ms,,,,no
E0215,auth-svc,WARN,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0208,checkout-api,ERROR,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0032,notification-svc,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",dependency_failure,db_connection_pool_exhausted,increase_pool_size_and_add_timeout_retry,yes
E0217,search-api,WARN,"disk usage 96% on /var/log, write failures beginning",,,,no
E0314,search-api,INFO,GET /health 200 2ms,,,,no
E0155,image-cdn,WARN,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0309,checkout-api,INFO,GET /health 200 2ms,,,,no
E0447,payments-worker,INFO,INFO cache warmup complete in 120ms,,,,no
E0176,inventory-svc,ERROR,slow query 8400ms: SELECT * FROM orders WHERE user_id=? (no index),,,,no
E0308,payments-worker,INFO,GET /favicon.ico 404 1ms,,,,no
E0067,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0005,search-api,ERROR,"disk usage 96% on /var/log, write failures beginning",resource_exhaustion,disk_full,rotate_logs_and_expand_volume,yes
E0056,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0329,notification-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0159,image-cdn,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0435,gateway,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0194,checkout-api,WARN,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0361,image-cdn,INFO,INFO cache warmup complete in 120ms,,,,no
E0396,image-cdn,INFO,GET /favicon.ico 404 1ms,,,,no
E0370,checkout-api,INFO,GET /favicon.ico 404 1ms,,,,no
E0399,user-db-proxy,INFO,GET /health 200 2ms,,,,no
E0446,inventory-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0066,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0428,inventory-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0299,notification-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0228,notification-svc,ERROR,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0052,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0072,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0205,notification-svc,WARN,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0272,user-db-proxy,INFO,INFO user session refreshed,,,,no
E0258,notification-svc,INFO,INFO cache warmup complete in 120ms,,,,no
E0101,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0293,recommendation-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0006,payments-worker,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",capacity,rate_limit_breach,add_backpressure_and_request_quota_increase,yes
E0009,auth-svc,ERROR,kafka consumer lag 240000 msgs on topic payments.events,capacity,consumer_lag,scale_consumers_and_check_poison_message,yes
E0276,notification-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0439,inventory-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0204,image-cdn,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",,,,no
E0408,inventory-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0288,image-cdn,INFO,INFO user session refreshed,,,,no
E0199,recommendation-svc,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0164,payments-worker,WARN,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0420,user-db-proxy,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0330,notification-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0041,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0058,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0013,checkout-api,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",dependency_failure,upstream_outage,enable_fallback_queue_and_alert_vendor,yes
E0371,inventory-svc,INFO,GET /health 200 2ms,,,,no
E0134,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0025,recommendation-svc,ERROR,"disk usage 96% on /var/log, write failures beginning",resource_exhaustion,disk_full,rotate_logs_and_expand_volume,yes
E0029,payments-worker,ERROR,kafka consumer lag 240000 msgs on topic payments.events,capacity,consumer_lag,scale_consumers_and_check_poison_message,yes
E0434,search-api,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0201,search-api,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0104,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0359,gateway,INFO,GET /favicon.ico 404 1ms,,,,no
E0441,recommendation-svc,INFO,DEBUG feature-flag evaluated: new_checkout=false,,,,no
E0304,recommendation-svc,INFO,INFO scheduled job nightly-report started,,,,no
E0221,gateway,ERROR,slow query 8400ms: SELECT * FROM orders WHERE user_id=? (no index),,,,no
E0036,auth-svc,ERROR,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",capacity,rate_limit_breach,add_backpressure_and_request_quota_increase,yes
E0390,gateway,INFO,GET /favicon.ico 404 1ms,,,,no
E0003,notification-svc,ERROR,"HTTP 503 from upstream payments-provider, circuit breaker OPEN",dependency_failure,upstream_outage,enable_fallback_queue_and_alert_vendor,yes
E0163,auth-svc,WARN,"rate limit exceeded: 429 from search-index, 12k req/min > 10k quota",,,,no
E0375,search-api,INFO,INFO cache warmup complete in 120ms,,,,no
E0200,inventory-svc,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0417,checkout-api,INFO,INFO scheduled job nightly-report started,,,,no
E0403,recommendation-svc,INFO,GET /favicon.ico 404 1ms,,,,no
E0213,image-cdn,ERROR,NullPointerException at auth.TokenValidator.verify line 88,,,,no
E0255,user-db-proxy,WARN,"disk usage 96% on /var/log, write failures beginning",,,,no
E0423,notification-svc,INFO,INFO user session refreshed,,,,no
E0193,recommendation-svc,ERROR,TLS handshake failed: certificate expired for cdn.lyzr.io,,,,no
E0050,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0325,notification-svc,INFO,INFO user session refreshed,,,,no
E0133,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0110,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0387,notification-svc,INFO,INFO user session refreshed,,,,no
E0223,notification-svc,ERROR,kafka consumer lag 240000 msgs on topic payments.events,,,,no
E0055,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0263,user-db-proxy,INFO,INFO scheduled job nightly-report started,,,,no
E0180,inventory-svc,WARN,slow query 8400ms: SELECT * FROM orders WHERE user_id=? (no index),,,,no
E0182,user-db-proxy,ERROR,"connection timeout to postgres after 30000ms (pool exhausted, active=100 idle=0)",,,,no
E0045,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0057,checkout-api,ERROR,OutOfMemoryError: Java heap space at com.lyzr.checkout.CartService.merge,,,,no
E0216,gateway,WARN,"deadlock detected updating inventory rows, transaction rolled back",,,,no
E0344,image-cdn,INFO,INFO scheduled job nightly-report started,,,,no
E0320,inventory-svc,INFO,INFO scheduled job nightly-report started,,,,no
